date,val_sessions,val_total_power
2021-10-05 18:14:00,23,136.8204862280914
2021-10-05 19:14:00,36,238.21073415122297
2021-10-05 20:14:00,38,213.32475616287428
2021-10-05 21:14:00,35,201.6947807980206
2021-10-05 22:14:00,29,191.7068995284548
2021-10-05 23:14:00,23,130.12552439959032
2021-10-06 00:14:00,20,107.56175369130261
2021-10-06 01:14:00,14,71.97181071536168
2021-10-06 02:14:00,12,58.49690902671953
2021-10-06 03:14:00,8,33.29679686931672
2021-10-06 04:14:00,5,17.114429053689445
2021-10-06 05:14:00,7,30.74807124898524
2021-10-06 06:14:00,4,12.660077921854253
2021-10-06 07:14:00,3,5.616599660984687
2021-10-06 08:14:00,7,36.903362844079396
2021-10-06 09:14:00,17,194.0427594745977
2021-10-06 10:14:00,19,134.32582463176973
2021-10-06 11:14:00,13,79.90618318544999
2021-10-06 12:14:00,8,53.15470057295265
2021-10-06 13:14:00,11,92.20760046014283
2021-10-06 14:14:00,12,98.74801909837826
2021-10-06 15:14:00,13,133.57937913370276
2021-10-06 16:14:00,13,83.14524244311545
2021-10-06 17:14:00,16,105.61976772115696
2021-10-06 18:14:00,18,188.07089953426654
2021-10-06 19:14:00,31,171.0081573031805
2021-10-06 20:14:00,36,201.7940209973408
2021-10-06 21:14:00,35,200.7344709102278
2021-10-06 22:14:00,29,165.63409798867954
2021-10-06 23:14:00,19,106.05541541977286
2021-10-07 00:14:00,16,88.81621268392476
2021-10-07 01:14:00,13,68.88400516916948
2021-10-07 02:14:00,10,56.09164870045239
2021-10-07 03:14:00,9,48.06772345661039
2021-10-07 04:14:00,9,48.06772345661039
2021-10-07 05:14:00,7,37.156737263651465
2021-10-07 06:14:00,5,23.98316759008179
2021-10-07 07:14:00,4,17.38337972170007
2021-10-07 08:14:00,8,58.27903856508095
2021-10-07 09:14:00,12,68.94259158637468
2021-10-07 10:14:00,13,82.71605999237968
2021-10-07 11:14:00,12,122.57734813803033
2021-10-07 12:14:00,10,89.49056222559048
2021-10-07 13:14:00,8,59.212550670100725
2021-10-07 14:14:00,11,91.29321089024681
2021-10-07 15:14:00,14,119.17563805021429
2021-10-07 16:14:00,15,110.07379455020114
2021-10-07 17:14:00,16,139.6220960935333
2021-10-07 18:14:00,19,167.83075861837673
2021-10-07 19:14:00,25,173.00009890279802
2021-10-07 20:14:00,23,173.81443058570878
2021-10-07 21:14:00,19,119.5574161147348
2021-10-07 22:14:00,20,142.6972528187502
2021-10-07 23:14:00,18,151.7099265159918
2021-10-08 00:14:00,15,97.18649494043765
2021-10-08 01:14:00,13,82.66774790110082
2021-10-08 02:14:00,10,63.65233852598966
2021-10-08 03:14:00,8,49.81700417948511
2021-10-08 04:14:00,6,36.60386708901833
2021-10-08 05:14:00,5,29.734044603811228
2021-10-08 06:14:00,4,22.938863880919662
2021-10-08 07:14:00,3,45.11051993767673
2021-10-08 08:14:00,9,79.38627069125111
2021-10-08 09:14:00,15,144.8350150946689
2021-10-08 10:14:00,13,84.0943449953209
2021-10-08 11:14:00,13,112.53086451193658
2021-10-08 12:14:00,8,76.16204269819968
2021-10-08 13:14:00,6,33.31925264387093
2021-10-08 14:14:00,5,71.48011587653426
2021-10-08 15:14:00,9,98.08888904416087
2021-10-08 16:14:00,13,78.61206787728926
2021-10-08 17:14:00,19,137.19967945349745
2021-10-08 18:14:00,22,125.84494806959258
2021-10-08 19:14:00,18,98.68743607801063
2021-10-08 20:14:00,25,146.5157107805728
2021-10-08 21:14:00,24,136.49261845379624
2021-10-08 22:14:00,30,172.5473010966308
2021-10-08 23:14:00,27,157.267177076498
2021-10-09 00:14:00,26,148.7772748736996
2021-10-09 01:14:00,26,151.44164424144637
2021-10-09 02:14:00,22,129.9721116951596
2021-10-09 03:14:00,18,111.36948037839109
2021-10-09 04:14:00,15,92.87313735010622
2021-10-09 05:14:00,12,71.83958566899248
2021-10-09 06:14:00,6,33.12137359432125
2021-10-09 07:14:00,8,64.05563552089293
2021-10-09 08:14:00,5,25.732866850583292
2021-10-09 09:14:00,7,39.59417724872786
2021-10-09 10:14:00,8,46.78203985930341
2021-10-09 11:14:00,7,42.19151177509538
2021-10-09 12:14:00,8,46.438600781423624
2021-10-09 13:14:00,10,56.64877222599858
2021-10-09 14:14:00,10,77.84603898454037
2021-10-09 15:14:00,10,70.73753618174882
2021-10-09 16:14:00,13,72.66195596822715
2021-10-09 17:14:00,11,113.01056597590407
2021-10-09 18:14:00,8,54.065726852486335
2021-10-09 19:14:00,15,127.73560484535793
2021-10-09 20:14:00,16,104.16388945624084
2021-10-09 21:14:00,17,144.02366673315623
2021-10-09 22:14:00,16,99.16787563809338
2021-10-09 23:14:00,16,93.29021432774091
2021-10-10 00:14:00,17,100.96612058646174
2021-10-10 01:14:00,11,68.53353367037649
2021-10-10 02:14:00,10,66.25475047537607
2021-10-10 03:14:00,8,52.786547710399105
2021-10-10 04:14:00,6,39.07798293181752
2021-10-10 05:14:00,4,26.76522989538027
2021-10-10 06:14:00,3,19.904852536889706
2021-10-10 07:14:00,3,19.97907572432706
2021-10-10 08:14:00,4,38.83923291341628
2021-10-10 09:14:00,2,7.898884481360538
2021-10-10 10:14:00,5,27.08456635013514
2021-10-10 11:14:00,9,83.08977372340703
2021-10-10 12:14:00,8,75.83675141832845
2021-10-10 13:14:00,7,40.513725206883905
2021-10-10 14:14:00,13,71.81867636689346
2021-10-10 15:14:00,10,84.42339698936148
2021-10-10 16:14:00,11,68.29801661546125
2021-10-10 17:14:00,10,69.57584201599597
2021-10-10 18:14:00,11,63.4941167817305
2021-10-10 19:14:00,19,139.965503119558
2021-10-10 20:14:00,25,147.2158535357869
2021-10-10 21:14:00,24,141.89870879308634
2021-10-10 22:14:00,23,157.9760013974288
2021-10-10 23:14:00,17,125.6031707977474
2021-10-11 00:14:00,16,101.8393542721222
2021-10-11 01:14:00,14,112.35936658796821
2021-10-11 02:14:00,12,76.00257040461595
2021-10-11 03:14:00,10,62.37832419275158
2021-10-11 04:14:00,9,55.38601650044389
2021-10-11 05:14:00,6,35.16320578736324
2021-10-11 06:14:00,3,14.210468578732227
2021-10-11 07:14:00,5,27.79913949310737
2021-10-11 08:14:00,4,24.388527129562707
2021-10-11 09:14:00,7,52.67654556274243
2021-10-11 10:14:00,14,140.4099687908721
2021-10-11 11:14:00,15,117.47750772220688
2021-10-11 12:14:00,10,63.50028266709838
2021-10-11 13:14:00,11,64.48916861188984
2021-10-11 14:14:00,12,143.3690774418514
2021-10-11 15:14:00,14,141.29089131777226
2021-10-11 16:14:00,13,91.10683165833017
